protocol,speed_mps,pdr_percent,avg_delay_ms,throughput_kbps,packet_loss_percent,network_lifetime_sec,energy_consumed_joules,detection_rate_percent,avg_trust,avg_predicted_trust,network_lifetime_rounds,packets_sent,packets_delivered,packet_loss_count,packets_lost,avg_hop_count,first_node_death_round,malicious_nodes,isolated_nodes,avg_energy_normalized,link_success_probability,total_pt_crev_broadcasts,gossip_messages,pt_gid_broadcasts,drops_buffer_overflow,drops_ttl_expired,drops_no_route,fallback_local_repair,fallback_route_discovery
AODV,10,46.8,357.906,766.771,53.2,4.2,4278.2,0.0,0.0,0.0,42,4000,1872,2128.0,2128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AODV,20,51.95,348.508,851.149,48.05,4.2,4603.8,0.0,0.0,0.0,42,4000,2078,1922.0,1922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AODV,30,52.175,354.336,854.835,47.825,5.4,4696.8,0.0,0.0,0.0,54,4000,2087,1913.0,1913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AODV,40,56.425,329.996,924.467,43.575,5.2,4729.05,0.0,0.0,0.0,52,4000,2257,1743.0,1743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATEAURP,10,77.425,88.925,1268.531,22.575,20.0,1130.39,100.0,0.8729,0.0,200,4000,3097,0.0,903,5.066,885.0,5.0,5.0,0.7739,0.8916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATEAURP,20,70.05,92.374,1147.699,29.95,20.0,1166.78,100.0,0.8944,0.0,200,4000,2802,0.0,1198,4.733,857.0,5.0,5.0,0.7666,0.8716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATEAURP,30,65.1,96.258,1066.598,34.9,20.0,1266.23,100.0,0.8909,0.0,200,4000,2604,0.0,1396,4.672,790.0,5.0,5.0,0.7468,0.8416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATEAURP,40,60.125,100.337,985.088,39.875,20.0,1347.85,100.0,0.8892,0.0,200,4000,2405,0.0,1595,4.8,742.0,5.0,5.0,0.7304,0.8128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DRL-EAURP,10,97.525,80.107,1597.85,2.475,20.0,343.75,0.0,0.9516,0.0,200,4000,3901,0.0,99,6.459,3636.0,5.0,0.0,0.9312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DRL-EAURP,20,97.775,80.768,1601.946,2.225,20.0,437.5,20.0,0.9398,0.0,200,4000,3911,0.0,89,6.478,2857.0,5.0,1.0,0.9125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
