protocol,speed_mps,pdr_percent,avg_delay_ms,throughput_kbps,packet_loss_percent,network_lifetime_sec,energy_consumed_joules,detection_rate_percent,avg_trust,avg_predicted_trust,network_lifetime_rounds,packets_sent,packets_delivered,packet_loss_count,packets_lost,avg_hop_count,first_node_death_round,malicious_nodes,isolated_nodes,avg_energy_normalized,link_success_probability,total_pt_crev_broadcasts,gossip_messages,pt_gid_broadcasts,drops_buffer_overflow,drops_ttl_expired,drops_no_route,fallback_local_repair,fallback_route_discovery
AODV,10,46.8,357.906,766.771,53.2,4.2,4278.2,0.0,0.0,0.0,42,4000,1872,2128.0,2128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AODV,20,51.95,348.508,851.149,48.05,4.2,4603.8,0.0,0.0,0.0,42,4000,2078,1922.0,1922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AODV,30,52.175,354.336,854.835,47.825,5.4,4696.8,0.0,0.0,0.0,54,4000,2087,1913.0,1913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AODV,40,56.425,329.996,924.467,43.575,5.2,4729.05,0.0,0.0,0.0,52,4000,2257,1743.0,1743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATEAURP,10,74.775,87.987,1225.114,25.225,20.0,1164.27,100.0,0.8634,0.0,200,4000,2991,0.0,1009,3.919,859.0,5.0,5.0,0.7671,0.8875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATEAURP,20,76.6,91.608,1255.014,23.4,20.0,1192.12,100.0,0.8816,0.0,200,4000,3064,0.0,936,3.835,839.0,5.0,5.0,0.7616,0.8668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATEAURP,30,77.5,95.461,1269.76,22.5,20.0,1246.2,100.0,0.8938,0.0,200,4000,3100,0.0,900,3.798,802.0,5.0,5.0,0.7508,0.8433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATEAURP,40,76.725,99.453,1257.062,23.275,20.0,1337.16,100.0,0.8893,0.0,200,4000,3069,0.0,931,3.825,748.0,5.0,5.0,0.7326,0.8133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DRL-EAURP,10,62.725,76.646,1027.686,37.275,20.0,2990.525,100.0,0.9315,0.0,200,4000,2509,0.0,1491,3.902,424.0,5.0,5.0,0.4101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DRL-EAURP,20,48.45,76.713,793.805,51.55,20.0,3081.68,100.0,0.9216,0.0,200,4000,1938,0.0,2062,3.873,187.0,5.0,5.0,0.3915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
