protocol,metric,applicable
AODV,pdr_percent,True
AODV,avg_delay_ms,True
AODV,throughput_kbps,True
AODV,packet_loss_percent,True
AODV,network_lifetime_sec,True
AODV,energy_consumed_joules,True
AODV,detection_rate_percent,False
AODV,avg_trust,False
AODV,avg_predicted_trust,False
ATEAURP,pdr_percent,True
ATEAURP,avg_delay_ms,True
ATEAURP,throughput_kbps,True
ATEAURP,packet_loss_percent,True
ATEAURP,network_lifetime_sec,True
ATEAURP,energy_consumed_joules,True
ATEAURP,detection_rate_percent,True
ATEAURP,avg_trust,True
ATEAURP,avg_predicted_trust,False
DRL-EAURP,pdr_percent,True
DRL-EAURP,avg_delay_ms,True
DRL-EAURP,throughput_kbps,True
DRL-EAURP,packet_loss_percent,True
DRL-EAURP,network_lifetime_sec,True
DRL-EAURP,energy_consumed_joules,True
DRL-EAURP,detection_rate_percent,True
DRL-EAURP,avg_trust,True
DRL-EAURP,avg_predicted_trust,False
EAURP,pdr_percent,True
EAURP,avg_delay_ms,True
EAURP,throughput_kbps,True
EAURP,packet_loss_percent,True
EAURP,network_lifetime_sec,True
EAURP,energy_consumed_joules,True
EAURP,detection_rate_percent,False
EAURP,avg_trust,False
EAURP,avg_predicted_trust,False
MADRL-EAURP,pdr_percent,True
MADRL-EAURP,avg_delay_ms,True
MADRL-EAURP,throughput_kbps,True
MADRL-EAURP,packet_loss_percent,True
MADRL-EAURP,network_lifetime_sec,True
MADRL-EAURP,energy_consumed_joules,True
MADRL-EAURP,detection_rate_percent,True
MADRL-EAURP,avg_trust,True
MADRL-EAURP,avg_predicted_trust,False
PSE-EAURP,pdr_percent,True
PSE-EAURP,avg_delay_ms,True
PSE-EAURP,throughput_kbps,True
PSE-EAURP,packet_loss_percent,True
PSE-EAURP,network_lifetime_sec,True
PSE-EAURP,energy_consumed_joules,True
PSE-EAURP,detection_rate_percent,True
PSE-EAURP,avg_trust,True
PSE-EAURP,avg_predicted_trust,True
