num_nodes,protocol,speed_mps,pdr_percent,avg_delay_ms,throughput_kbps,packet_loss_percent,network_lifetime_sec,energy_consumed_joules,detection_rate_percent,avg_trust,avg_predicted_trust,network_lifetime_rounds,packets_sent,packets_delivered,packet_loss_count,packets_lost,avg_hop_count,first_node_death_round,malicious_nodes,isolated_nodes,avg_energy_normalized,link_success_probability,total_pt_crev_broadcasts,gossip_messages,pt_gid_broadcasts,drops_buffer_overflow,drops_ttl_expired,drops_no_route,fallback_local_repair,fallback_route_discovery
50,AODV,20,51.95,348.508,851.149,48.05,4.2,4603.8,0.0,0.0,0.0,42,4000,2078,1922.0,1922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,AODV,20,70.2,478.063,1150.157,29.8,8.2,8660.8,0.0,0.0,0.0,82,4000,2808,1192.0,1192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,AODV,20,87.5,660.429,1433.6,12.5,10.4,15122.0,0.0,0.0,0.0,104,4000,3500,500.0,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400,AODV,20,94.3,893.69,1545.011,5.7,11.3,22706.65,0.0,0.0,0.0,113,4000,3772,228.0,228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,ATEAURP,20,74.075,91.684,1213.645,25.925,20.0,1254.8,100.0,0.8809,0.0,200,4000,2963,0.0,1037,3.935,797.0,5.0,5.0,0.749,0.8641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,ATEAURP,20,72.25,92.679,1183.744,27.75,20.0,1857.64,100.0,0.8763,0.0,200,4000,2890,0.0,1110,5.233,1077.0,13.0,13.0,0.8142,0.8757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,ATEAURP,20,66.925,94.171,1096.499,33.075,20.0,2940.17,100.0,0.851,0.0,200,4000,2677,0.0,1323,7.188,1360.0,33.0,33.0,0.853,0.8759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400,ATEAURP,20,58.425,96.316,957.235,41.575,20.0,4789.87,100.0,0.8535,0.0,200,4000,2337,0.0,1663,10.134,1670.0,69.0,69.0,0.8803,0.8821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,DRL-EAURP,20,64.675,76.961,1059.635,35.325,20.0,3132.57,100.0,0.9413,0.0,200,4000,2587,0.0,1413,4.252,404.0,5.0,5.0,0.3811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,DRL-EAURP,20,63.75,78.105,1044.48,36.25,20.0,4380.73,100.0,0.9479,0.0,200,4000,2550,0.0,1450,5.967,571.0,13.0,13.0,0.5619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,DRL-EAURP,20,59.775,79.002,979.354,40.225,20.0,5767.26,100.0,0.9251,0.0,200,4000,2391,0.0,1609,7.361,867.0,33.0,33.0,0.7116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400,DRL-EAURP,20,51.875,80.903,849.92,48.125,20.0,8360.51,97.101,0.902,0.0,200,4000,2075,0.0,1925,10.226,1196.0,69.0,67.0,0.791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,EAURP,20,54.875,346.515,899.072,45.125,6.8,4814.65,0.0,0.0,0.0,68,4000,2195,1805.0,1805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,EAURP,20,71.8,478.517,1176.371,28.2,9.1,8861.25,0.0,0.0,0.0,91,4000,2872,1128.0,1128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,EAURP,20,85.8,677.127,1405.747,14.2,10.4,15205.1,0.0,0.0,0.0,104,4000,3432,568.0,568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400,EAURP,20,94.55,884.241,1549.107,5.45,11.3,22541.8,0.0,0.0,0.0,113,4000,3782,218.0,218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,MADRL-EAURP,20,72.426,828.985,806.912,24.743,13.5,4997.8,0.0,0.0,0.0,135,2720,1970,673.0,673,8.29,135.0,0.0,0.0,0.0004,0.0,0.0,127235.0,42692.0,33.0,240.0,400.0,9636.0,2888.0
